"Class Molecular Function"	"Total of Genes"
"GO:0008870 - galactoside O-acetyltransferase activity"	1
"GO:0008872 - glucarate dehydratase activity"	1
"GO:0008873 - gluconate 2-dehydrogenase activity"	1
"GO:0008874 - gluconate 5-dehydrogenase activity"	1
"GO:0008876 - quinoprotein glucose dehydrogenase activity"	1
"GO:0008878 - glucose-1-phosphate adenylyltransferase activity"	1
"GO:0008880 - glucuronate isomerase activity"	1
"GO:0008881 - glutamate racemase activity"	1
"GO:0008882 - [glutamate-ammonia-ligase] adenylyltransferase activity"	1
"GO:0008888 - glycerol dehydrogenase [NAD+] activity"	1
"GO:0008890 - glycine C-acetyltransferase activity"	1
"GO:0008892 - guanine deaminase activity"	1
"GO:0008894 - guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity"	1
"GO:0008898 - S-adenosylmethionine-homocysteine S-methyltransferase activity"	1
"GO:0008899 - homoserine O-succinyltransferase activity"	1
"GO:0008906 - inosine kinase activity"	1
"GO:0008907 - integrase activity"	1
"GO:0008908 - isochorismatase activity"	1
"GO:0008911 - lactaldehyde dehydrogenase activity"	1
"GO:0008912 - lactaldehyde reductase activity"	1
"GO:0008913 - lauroyltransferase activity"	1
"GO:0008914 - leucyl-tRNA--protein transferase activity"	1
"GO:0008915 - lipid-A-disaccharide synthase activity"	1
"GO:0008917 - lipopolysaccharide N-acetylglucosaminyltransferase activity"	1
"GO:0008920 - lipopolysaccharide heptosyltransferase activity"	1
"GO:0008922 - long-chain fatty acid [acyl-carrier-protein] ligase activity"	1
"GO:0008924 - malate dehydrogenase (quinone) activity"	1
"GO:0008925 - maltose O-acetyltransferase activity"	1
"GO:0008927 - mannonate dehydratase activity"	1
"GO:0008929 - methylglyoxal synthase activity"	1
"GO:0008930 - methylthioadenosine nucleosidase activity"	1
"GO:0008934 - inositol monophosphate 1-phosphatase activity"	1
"GO:0008935 - 1,4-dihydroxy-2-naphthoyl-CoA synthase activity"	1
"GO:0008936 - nicotinamidase activity"	1
"GO:0008939 - nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity"	1
"GO:0008941 - nitric oxide dioxygenase NAD(P)H activity"	1
"GO:0008949 - oxalyl-CoA decarboxylase activity"	1
"GO:0008951 - palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity"	1
"GO:0008957 - phenylacetaldehyde dehydrogenase activity"	1
"GO:0008960 - phosphatidylglycerol-membrane-oligosaccharide glycerophosphotransferase activity"	1
"GO:0008961 - phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity"	1
"GO:0008964 - phosphoenolpyruvate carboxylase activity"	1
"GO:0008966 - phosphoglucosamine mutase activity"	1
"GO:0008968 - D-sedoheptulose 7-phosphate isomerase activity"	1
"GO:0008970 - phospholipase A1 activity"	1
"GO:0008972 - phosphomethylpyrimidine kinase activity"	1
"GO:0008974 - phosphoribulokinase activity"	1
"GO:0008976 - polyphosphate kinase activity"	1
"GO:0008977 - prephenate dehydrogenase (NAD+) activity"	1
"GO:0008980 - propionate kinase activity"	1
"GO:0008983 - protein-glutamate O-methyltransferase activity"	1
"GO:0008984 - protein-glutamate methylesterase activity"	1
"GO:0008986 - pyruvate, water dikinase activity"	1
"GO:0008987 - quinolinate synthetase A activity"	1
"GO:0008989 - rRNA (guanine-N1-)-methyltransferase activity"	1
"GO:0008993 - rhamnulokinase activity"	1
"GO:0008994 - rhamnulose-1-phosphate aldolase activity"	1
"GO:0008995 - ribonuclease E activity"	1
"GO:0008996 - ribonuclease G activity"	1
"GO:0008997 - ribonuclease R activity"	1
"GO:0008998 - ribonucleoside-triphosphate reductase activity"	1
"GO:0009010 - sorbitol-6-phosphate 2-dehydrogenase activity"	1
"GO:0009011 - starch synthase activity"	1
"GO:0009014 - succinyl-diaminopimelate desuccinylase activity"	1
"GO:0009015 - N-succinylarginine dihydrolase activity"	1
"GO:0009016 - succinyldiaminopimelate transaminase activity"	1
"GO:0009017 - succinylglutamate desuccinylase activity"	1
"GO:0009022 - tRNA nucleotidyltransferase activity"	1
"GO:0009024 - tagatose-6-phosphate kinase activity"	1
"GO:0009027 - tartrate dehydrogenase activity"	1
"GO:0009028 - tartronate-semialdehyde synthase activity"	1
"GO:0009029 - tetraacyldisaccharide 4'-kinase activity"	1
"GO:0009030 - thiamine-phosphate kinase activity"	1
"GO:0009034 - tryptophanase activity"	1
"GO:0009035 - type I site-specific deoxyribonuclease activity"	1
"GO:0009040 - ureidoglycolate dehydrogenase activity"	1
"GO:0009041 - UMP/dUMP kinase activity"	1
"GO:0009042 - valine-pyruvate transaminase activity"	1
"GO:0009044 - xylan 1,4-beta-xylosidase activity"	1
"GO:0009045 - xylose isomerase activity"	1
"GO:0009046 - zinc D-Ala-D-Ala carboxypeptidase activity"	1
"GO:0009374 - biotin binding"	1
"GO:0009385 - N-acylmannosamine-6-phosphate 2-epimerase activity"	1
"GO:0009675 - high-affinity sulfate:proton symporter activity"	1
"GO:0009679 - hexose:proton symporter activity"	1
"GO:0009702 - L-arabinokinase activity"	1
"GO:0009824 - AMP dimethylallyltransferase activity"	1
"GO:0009881 - photoreceptor activity"	1
"GO:0009882 - blue light photoreceptor activity"	1
"GO:0010280 - UDP-L-rhamnose synthase activity"	1
"GO:0010326 - methionine-oxo-acid transaminase activity"	1
"GO:0010340 - carboxyl-O-methyltransferase activity"	1
"GO:0010420 - 3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity"	1
"GO:0010487 - thermospermine synthase activity"	1
"GO:0010945 - coenzyme A diphosphatase activity"	1
"GO:0015044 - rubredoxin-NAD+ reductase activity"	1
"GO:0015075 - monoatomic ion transmembrane transporter activity"	1
"GO:0015091 - ferric iron transmembrane transporter activity"	1
"GO:0015092 - high-affinity ferric iron transmembrane transporter activity"	1
"GO:0015094 - lead ion transmembrane transporter activity"	1
"GO:0015105 - arsenite transmembrane transporter activity"	1
"GO:0015108 - chloride transmembrane transporter activity"	1
"GO:0015116 - sulfate transmembrane transporter activity"	1
"GO:0015117 - thiosulfate transmembrane transporter activity"	1
"GO:0015123 - acetate transmembrane transporter activity"	1
"GO:0015134 - hexuronate transmembrane transporter activity"	1
"GO:0015143 - urate transmembrane transporter activity"	1
"GO:0015148 - D-xylose transmembrane transporter activity"	1
"GO:0015153 - rhamnose transmembrane transporter activity"	1
"GO:0015168 - glycerol transmembrane transporter activity"	1
"GO:0015175 - neutral L-amino acid transmembrane transporter activity"	1
"GO:0015180 - L-alanine transmembrane transporter activity"	1
"GO:0015185 - gamma-aminobutyric acid transmembrane transporter activity"	1
"GO:0015187 - glycine transmembrane transporter activity"	1
"GO:0015189 - L-lysine transmembrane transporter activity"	1
"GO:0015193 - L-proline transmembrane transporter activity"	1
"GO:0015204 - urea transmembrane transporter activity"	1
"GO:0015209 - cytosine transmembrane transporter activity"	1
"GO:0015214 - pyrimidine nucleoside transmembrane transporter activity"	1
"GO:0015218 - pyrimidine nucleotide transmembrane transporter activity"	1
"GO:0015221 - lipopolysaccharide transmembrane transporter activity"	1
"GO:0015225 - biotin transmembrane transporter activity"	1
"GO:0015230 - FAD transmembrane transporter activity"	1
"GO:0015233 - pantothenate transmembrane transporter activity"	1
"GO:0015250 - water channel activity"	1
"GO:0015254 - glycerol channel activity"	1
"GO:0015315 - organophosphate:inorganic phosphate antiporter activity"	1
"GO:0015341 - zinc efflux active transmembrane transporter activity"	1
"GO:0015355 - secondary active monocarboxylate transmembrane transporter activity"	1
"GO:0015360 - acetate:proton symporter activity"	1
"GO:0015366 - malate:proton symporter activity"	1
"GO:0015387 - potassium:proton symporter activity"	1
"GO:0015408 - ABC-type ferric iron transporter activity"	1
"GO:0015416 - ABC-type phosphonate transporter activity"	1
"GO:0015430 - ABC-type glycerol-3-phosphate transporter activity"	1
"GO:0015437 - lipopolysaccharide floppase activity"	1
"GO:0015444 - P-type magnesium transporter activity"	1
"GO:0015471 - nucleoside-specific channel forming porin activity"	1
"GO:0015483 - long-chain fatty acid transporting porin activity"	1
"GO:0015485 - cholesterol binding"	1
"GO:0015486 - glycoside-pentoside-hexuronide:cation symporter activity"	1
"GO:0015487 - melibiose:monoatomic cation symporter activity"	1
"GO:0015496 - putrescine:ornithine antiporter activity"	1
"GO:0015501 - glutamate:sodium symporter activity"	1
"GO:0015514 - nitrite efflux transmembrane transporter activity"	1
"GO:0015518 - arabinose:proton symporter activity"	1
"GO:0015519 - D-xylose:proton symporter activity"	1
"GO:0015526 - hexose-phosphate:inorganic phosphate antiporter activity"	1
"GO:0015527 - glycerol-phosphate:inorganic phosphate antiporter activity"	1
"GO:0015530 - shikimate transmembrane transporter activity"	1
"GO:0015535 - fucose:proton symporter activity"	1
"GO:0015538 - sialic acid:proton symporter activity"	1
"GO:0015540 - 3-hydroxyphenyl propionate:proton symporter activity"	1
"GO:0015553 - xanthosine transmembrane transporter activity"	1
"GO:0015558 - secondary active p-aminobenzoyl-glutamate transmembrane transporter activity"	1
"GO:0015568 - L-idonate transmembrane transporter activity"	1
"GO:0015572 - N-acetylglucosamine transmembrane transporter activity"	1
"GO:0015574 - trehalose transmembrane transporter activity"	1
"GO:0015599 - ATPase-coupled L-glutamine transmembrane transporter activity"	1
"GO:0015612 - ABC-type L-arabinose transporter activity"	1
"GO:0015614 - ABC-type D-xylose transporter activity"	1
"GO:0015625 - ABC-type ferric hydroxamate transporter activity"	1
"GO:0015633 - ABC-type zinc transporter activity"	1
"GO:0015638 - microcin transmembrane transporter activity"	1
"GO:0015647 - peptidoglycan transmembrane transporter activity"	1
"GO:0015649 - 2-keto-3-deoxygluconate:proton symporter activity"	1
"GO:0015661 - L-lysine efflux transmembrane transporter activity"	1
"GO:0015930 - glutamate synthase activity"	1
"GO:0016002 - sulfite reductase activity"	1
"GO:0016040 - glutamate synthase (NADH) activity"	1
"GO:0016150 - translation release factor activity, codon nonspecific"	1
"GO:0016158 - 3-phytase activity"	1
"GO:0016212 - kynurenine-oxoglutarate transaminase activity"	1
"GO:0016231 - beta-N-acetylglucosaminidase activity"	1
"GO:0016279 - protein-lysine N-methyltransferase activity"	1
"GO:0016287 - glycerone-phosphate O-acyltransferase activity"	1
"GO:0016412 - serine O-acyltransferase activity"	1
"GO:0016415 - octanoyltransferase activity"	1
"GO:0016416 - O-palmitoyltransferase activity"	1
"GO:0016419 - S-malonyltransferase activity"	1
"GO:0016428 - tRNA (cytidine-5-)-methyltransferase activity"	1
"GO:0016430 - tRNA (adenine-N6)-methyltransferase activity"	1
"GO:0016432 - tRNA-uridine aminocarboxypropyltransferase activity"	1
"GO:0016433 - rRNA (adenine) methyltransferase activity"	1
"GO:0016463 - P-type zinc transporter activity"	1
"GO:0016594 - glycine binding"	1
"GO:0016595 - glutamate binding"	1
"GO:0016615 - malate dehydrogenase activity"	1
"GO:0016624 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"	1
"GO:0016625 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor"	1
"GO:0016631 - enoyl-[acyl-carrier-protein] reductase activity"	1
"GO:0016639 - oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor"	1
"GO:0016645 - oxidoreductase activity, acting on the CH-NH group of donors"	1
"GO:0016647 - oxidoreductase activity, acting on the CH-NH group of donors, oxygen as acceptor"	1
"GO:0016652 - oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor"	1
"GO:0016667 - oxidoreductase activity, acting on a sulfur group of donors"	1
"GO:0016675 - oxidoreductase activity, acting on a heme group of donors"	1
"GO:0016701 - oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"	1
"GO:0016724 - oxidoreductase activity, acting on metal ions, oxygen as acceptor"	1
"GO:0016731 - oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor"	1
"GO:0016748 - succinyltransferase activity"	1
"GO:0016755 - aminoacyltransferase activity"	1
"GO:0016759 - cellulose synthase activity"	1
"GO:0016760 - cellulose synthase (UDP-forming) activity"	1
"GO:0016768 - spermine synthase activity"	1
"GO:0016769 - transferase activity, transferring nitrogenous groups"	1
"GO:0016775 - phosphotransferase activity, nitrogenous group as acceptor"	1
"GO:0016778 - diphosphotransferase activity"	1
"GO:0016782 - transferase activity, transferring sulphur-containing groups"	1
"GO:0016784 - 3-mercaptopyruvate sulfurtransferase activity"	1
"GO:0016793 - triphosphoric monoester hydrolase activity"	1
"GO:0016795 - phosphoric triester hydrolase activity"	1
"GO:0016807 - cysteine-type carboxypeptidase activity"	1
"GO:0016814 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"	1
"GO:0016823 - hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances"	1
"GO:0016835 - carbon-oxygen lyase activity"	1
"GO:0016838 - carbon-oxygen lyase activity, acting on phosphates"	1
"GO:0016840 - carbon-nitrogen lyase activity"	1
"GO:0016846 - carbon-sulfur lyase activity"	1
"GO:0016862 - intramolecular oxidoreductase activity, interconverting keto- and enol-groups"	1
"GO:0016869 - intramolecular aminotransferase activity"	1
"GO:0016872 - intramolecular lyase activity"	1
"GO:0016878 - acid-thiol ligase activity"	1
"GO:0016880 - acid-ammonia (or amide) ligase activity"	1
"GO:0016929 - deSUMOylase activity"	1
"GO:0016979 - lipoate-protein ligase activity"	1
"GO:0016992 - lipoate synthase activity"	1
"GO:0017057 - 6-phosphogluconolactonase activity"	1
"GO:0017061 - S-methyl-5-thioadenosine phosphorylase activity"	1
"GO:0017076 - purine nucleotide binding"	1
"GO:0017118 - lipoyltransferase activity"	1
"GO:0017136 - NAD-dependent histone deacetylase activity"	1
"GO:0017151 - DEAD/H-box RNA helicase binding"	1
"GO:0018169 - ribosomal S6-glutamic acid ligase activity"	1
"GO:0018498 - 2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity"	1
"GO:0018741 - linear primary-alkylsulfatase activity"	1
"GO:0018756 - ammeline aminohydrolase activity"	1
"GO:0018771 - 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase activity"	1
"GO:0018773 - acetylpyruvate hydrolase activity"	1
"GO:0019107 - myristoyltransferase activity"	1
"GO:0019134 - glucosamine-1-phosphate N-acetyltransferase activity"	1
"GO:0019135 - deoxyhypusine monooxygenase activity"	1
"GO:0019142 - 2-hydroxyglutarate synthase activity"	1
"GO:0019143 - 3-deoxy-manno-octulosonate-8-phosphatase activity"	1
"GO:0019147 - (R)-aminopropanol dehydrogenase activity"	1
"GO:0019148 - D-cysteine desulfhydrase activity"	1
"GO:0019149 - 3-chloro-D-alanine dehydrochlorinase activity"	1
"GO:0019150 - D-ribulokinase activity"	1
"GO:0019153 - protein-disulfide reductase (glutathione) activity"	1
"GO:0019158 - mannokinase activity"	1
"GO:0019159 - nicotinamide-nucleotide amidase activity"	1
"GO:0019161 - diamine transaminase activity"	1
"GO:0019165 - thiamine kinase activity"	1
"GO:0019170 - methylglyoxal reductase (NADH-dependent) activity"	1
"GO:0019177 - dihydroneopterin triphosphate pyrophosphohydrolase activity"	1
"GO:0019180 - dTDP-4-amino-4,6-dideoxygalactose transaminase activity"	1
"GO:0019205 - nucleobase-containing compound kinase activity"	1
"GO:0019534 - toxin transmembrane transporter activity"	1
"GO:0019809 - spermidine binding"	1
"GO:0019826 - oxygen sensor activity"	1
"GO:0019901 - protein kinase binding"	1
"GO:0019992 - diacylglycerol binding"	1
"GO:0022883 - zinc efflux transmembrane transporter activity"	1
"GO:0030060 - L-malate dehydrogenase activity"	1
"GO:0030266 - quinate 3-dehydrogenase (NAD+) activity"	1
"GO:0030272 - 5-formyltetrahydrofolate cyclo-ligase activity"	1
"GO:0030350 - iron-responsive element binding"	1
"GO:0030366 - molybdopterin synthase activity"	1
"GO:0030552 - cAMP binding"	1
"GO:0030599 - pectinesterase activity"	1
"GO:0030604 - 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity"	1
"GO:0030611 - arsenate reductase activity"	1
"GO:0030613 - oxidoreductase activity, acting on phosphorus or arsenic in donors"	1
"GO:0030697 - tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent"	1
"GO:0030798 - trans-aconitate 2-methyltransferase activity"	1
"GO:0030942 - endoplasmic reticulum signal peptide binding"	1
"GO:0030973 - molybdate ion binding"	1
"GO:0030975 - thiamine binding"	1
"GO:0031132 - serine 3-dehydrogenase activity"	1
"GO:0031220 - maltodextrin phosphorylase activity"	1
"GO:0031403 - lithium ion binding"	1
"GO:0031404 - chloride ion binding"	1
"GO:0031420 - alkali metal ion binding"	1
"GO:0031459 - ABC-type glycine betaine transporter activity"	1
"GO:0032131 - alkylated DNA binding"	1
"GO:0032135 - DNA insertion or deletion binding"	1
"GO:0032136 - adenine/cytosine mispair binding"	1
"GO:0032267 - tRNA(Ile)-lysidine synthase activity"	1
"GO:0032357 - oxidized purine DNA binding"	1
"GO:0032448 - DNA hairpin binding"	1
"GO:0032453 - histone H3K4 demethylase activity"	1
"GO:0032549 - ribonucleoside binding"	1
"GO:0032553 - ribonucleotide binding"	1
"GO:0032556 - pyrimidine deoxyribonucleotide binding"	1
"GO:0032559 - adenyl ribonucleotide binding"	1
"GO:0032564 - dATP binding"	1
"GO:0032567 - dGTP binding"	1
"GO:0032794 - GTPase activating protein binding"	1
"GO:0033094 - putrescine--2-oxoglutarate transaminase activity"	1
"GO:0033201 - alpha-1,4-glucan synthase activity"	1
"GO:0033293 - monocarboxylic acid binding"	1
"GO:0033296 - rhamnose binding"	1
"GO:0033608 - formyl-CoA transferase activity"	1
"GO:0033679 - 3'-5' DNA/RNA helicase activity"	1
"GO:0033711 - 4-phosphoerythronate dehydrogenase activity"	1
"GO:0033737 - 1-pyrroline dehydrogenase activity"	1
"GO:0033739 - preQ1 synthase activity"	1
"GO:0033743 - peptide-methionine (R)-S-oxide reductase activity"	1
"GO:0033764 - steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	1
"GO:0033785 - heptose 7-phosphate kinase activity"	1
"GO:0033786 - heptose-1-phosphate adenylyltransferase activity"	1
"GO:0033812 - 3-oxoadipyl-CoA thiolase activity"	1
"GO:0033818 - beta-ketoacyl-acyl-carrier-protein synthase III activity"	1
"GO:0033819 - lipoyl(octanoyl) transferase activity"	1
"GO:0033831 - kojibiose phosphorylase activity"	1
"GO:0033850 - Z-farnesyl diphosphate synthase activity"	1
"GO:0033856 - pyridoxine 5'-phosphate synthase activity"	1
"GO:0033863 - ribose 1,5-bisphosphate phosphokinase activity"	1
"GO:0033890 - ribonuclease D activity"	1
"GO:0033897 - ribonuclease T2 activity"	1
"GO:0033934 - glucan 1,4-alpha-maltotriohydrolase activity"	1
"GO:0033969 - gamma-glutamyl-gamma-aminobutyrate hydrolase activity"	1
"GO:0033971 - hydroxyisourate hydrolase activity"	1
"GO:0034017 - trans-2-decenoyl-acyl-carrier-protein isomerase activity"	1
"GO:0034023 - 5-(carboxyamino)imidazole ribonucleotide mutase activity"	1
"GO:0034024 - glutamate-putrescine ligase activity"	1
"GO:0034028 - 5-(carboxyamino)imidazole ribonucleotide synthase activity"	1
"GO:0034057 - RNA strand-exchange activity"	1
"GO:0034200 - D,D-heptose 1,7-bisphosphate phosphatase activity"	1
"GO:0034228 - ethanolamine transmembrane transporter activity"	1
"GO:0034257 - nicotinamide riboside transmembrane transporter activity"	1
"GO:0034336 - misfolded RNA binding"	1
"GO:0034353 - mRNA 5'-diphosphatase activity"	1
"GO:0034611 - oligoribonucleotidase activity"	1
"GO:0034639 - L-amino acid efflux transmembrane transporter activity"	1
"GO:0034700 - allulose 6-phosphate 3-epimerase activity"	1
"GO:0034722 - gamma-glutamyl-peptidase activity"	1
"GO:0034979 - NAD-dependent protein deacetylase activity"	1
"GO:0035250 - UDP-galactosyltransferase activity"	1
"GO:0035312 - 5'-3' DNA exonuclease activity"	1
"GO:0035368 - selenocysteine insertion sequence binding"	1
"GO:0035460 - L-ascorbate 6-phosphate lactonase activity"	1
"GO:0035485 - adenine/guanine mispair binding"	1
"GO:0035515 - oxidative RNA demethylase activity"	1
"GO:0035516 - broad specificity oxidative DNA demethylase activity"	1
"GO:0035529 - NADH pyrophosphatase activity"	1
"GO:0035597 - N6-isopentenyladenosine methylthiotransferase activity"	1
"GO:0035599 - aspartic acid methylthiotransferase activity"	1
"GO:0035870 - dITP diphosphatase activity"	1
"GO:0035888 - isoguanine deaminase activity"	1
"GO:0036042 - long-chain fatty acyl-CoA binding"	1
"GO:0036054 - protein-malonyllysine demalonylase activity"	1
"GO:0036055 - protein-succinyllysine desuccinylase activity"	1
"GO:0036121 - double-stranded DNA helicase activity"	1
"GO:0036173 - thiosulfate binding"	1
"GO:0036220 - ITP diphosphatase activity"	1
"GO:0036222 - XTP diphosphatase activity"	1
"GO:0036307 - 23S rRNA (adenine(2030)-N(6))-methyltransferase activity"	1
"GO:0036308 - 16S rRNA (guanine(1516)-N(2))-methyltransferase activity"	1
"GO:0036311 - chitin disaccharide deacetylase activity"	1
"GO:0036355 - 2-iminoacetate synthase activity"	1
"GO:0036373 - L-fucose mutarotase activity"	1
"GO:0036374 - glutathione hydrolase activity"	1
"GO:0036380 - UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity"	1
"GO:0036402 - proteasome-activating activity"	1
"GO:0036412 - acetyl-CoA:oxalate CoA-transferase"	1
"GO:0036428 - adenosylcobinamide kinase (GTP-specific) activity"	1
"GO:0036429 - adenosylcobinamide kinase (ATP-specific) activity"	1
"GO:0036430 - CMP kinase activity"	1
"GO:0036431 - dCMP kinase activity"	1
"GO:0036456 - L-methionine-(S)-S-oxide reductase activity"	1
"GO:0042054 - histone methyltransferase activity"	1
"GO:0042134 - rRNA primary transcript binding"	1
"GO:0042286 - glutamate-1-semialdehyde 2,1-aminomutase activity"	1
"GO:0042380 - hydroxymethylbutenyl pyrophosphate reductase activity"	1
"GO:0042577 - lipid phosphatase activity"	1
"GO:0042586 - peptide deformylase activity"	1
"GO:0042806 - fucose binding"	1
"GO:0042881 - D-galactonate transmembrane transporter activity"	1
"GO:0042925 - benzoate transmembrane transporter activity"	1
"GO:0042944 - D-alanine transmembrane transporter activity"	1
"GO:0042958 - maltodextrin transmembrane transporter activity"	1
"GO:0042960 - antimonite secondary active transmembrane transporter activity"	1
"GO:0043021 - ribonucleoprotein complex binding"	1
"GO:0043115 - precorrin-2 dehydrogenase activity"	1
"GO:0043139 - 5'-3' DNA helicase activity"	1
"GO:0043168 - anion binding"	1
"GO:0043424 - protein histidine kinase binding"	1
"GO:0043530 - adenosine 5'-monophosphoramidase activity"	1
"GO:0043621 - protein self-association"	1
"GO:0043682 - P-type divalent copper transporter activity"	1
"GO:0043737 - deoxyribonuclease V activity"	1
"GO:0043739 - G/U mismatch-specific uracil-DNA glycosylase activity"	1
"GO:0043743 - LPPG:FO 2-phospho-L-lactate transferase activity"	1
"GO:0043748 - O-succinylbenzoate synthase activity"	1
"GO:0043751 - polyphosphate:AMP phosphotransferase activity"	1
"GO:0043752 - adenosylcobinamide kinase activity"	1
"GO:0043755 - alpha-ribazole phosphatase activity"	1
"GO:0043768 - S-ribosylhomocysteine lyase activity"	1
"GO:0043770 - demethylmenaquinone methyltransferase activity"	1
"GO:0043771 - cytidine kinase activity"	1
"GO:0043772 - acyl-phosphate glycerol-3-phosphate acyltransferase activity"	1
"GO:0043811 - phosphate:acyl-[acyl carrier protein] acyltransferase activity"	1
"GO:0043815 - phosphoribosylglycinamide formyltransferase 2 activity"	1
"GO:0043821 - propionyl-CoA:succinate CoA-transferase activity"	1
"GO:0043824 - succinylglutamate-semialdehyde dehydrogenase activity"	1
"GO:0043825 - succinylornithine transaminase activity"	1
"GO:0043828 - tRNA 2-selenouridine synthase activity"	1
"GO:0043838 - phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase activity"	1
"GO:0043842 - Kdo transferase activity"	1
"GO:0043862 - arginine:agmatine antiporter activity"	1
"GO:0043872 - lysine:cadaverine antiporter activity"	1
"GO:0043873 - pyruvate-flavodoxin oxidoreductase activity"	1
"GO:0043875 - 2-ketobutyrate formate-lyase activity"	1
"GO:0043883 - malolactic enzyme activity"	1
"GO:0043887 - melibiose:sodium symporter activity"	1
"GO:0043907 - Cys-tRNA(Pro) hydrolase activity"	1
"GO:0043908 - Ser(Gly)-tRNA(Ala) hydrolase activity"	1
"GO:0043916 - DNA-7-methylguanine glycosylase activity"	1
"GO:0043918 - cadaverine aminopropyltransferase activity"	1
"GO:0043957 - acryloyl-CoA reductase (NADP+) activity"	1
"GO:0044318 - L-aspartate:fumarate oxidoreductase activity"	1
"GO:0044325 - transmembrane transporter binding"	1
"GO:0044374 - sequence-specific DNA binding, bending"	1
"GO:0044547 - DNA topoisomerase binding"	1
"GO:0044610 - FMN transmembrane transporter activity"	1
"GO:0044667 - (R)-carnitine:4-(trimethylammonio)butanoate antiporter activity"	1
"GO:0045127 - N-acetylglucosamine kinase activity"	1
"GO:0045145 - single-stranded DNA 5'-3' DNA exonuclease activity"	1
"GO:0045148 - tripeptide aminopeptidase activity"	1
"GO:0045174 - glutathione dehydrogenase (ascorbate) activity"	1
"GO:0045182 - translation regulator activity"	1
"GO:0045330 - aspartyl esterase activity"	1
"GO:0045550 - geranylgeranyl reductase activity"	1
"GO:0045551 - cinnamyl-alcohol dehydrogenase activity"	1
"GO:0046029 - mannitol dehydrogenase activity"	1
"GO:0046421 - methylisocitrate lyase activity"	1
"GO:0046428 - 1,4-dihydroxy-2-naphthoate octaprenyltransferase activity"	1
"GO:0046429 - 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity"	1
"GO:0046510 - UDP-sulfoquinovose:DAG sulfoquinovosyltransferase activity"	1
"GO:0046537 - 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity"	1
"GO:0046538 - 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity"	1
"GO:0046553 - D-malate dehydrogenase (decarboxylating) activity"	1
"GO:0046566 - DOPA dioxygenase activity"	1
"GO:0046906 - tetrapyrrole binding"	1
"GO:0046917 - triphosphoribosyl-dephospho-CoA synthase activity"	1
"GO:0046920 - alpha-(1->3)-fucosyltransferase activity"	1
"GO:0046990 - N-hydroxyarylamine O-acetyltransferase activity"	1
"GO:0047001 - 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity"	1
"GO:0047029 - (R)-4-hydroxyphenyllactate dehydrogenase (NADPH) activity"	1
"GO:0047067 - hydrogen:quinone oxidoreductase activity"	1
"GO:0047070 - 3-carboxyethylcatechol 2,3-dioxygenase activity"	1
"GO:0047106 - 4-hydroxyphenylacetaldehyde dehydrogenase activity"	1
"GO:0047241 - lipopolysaccharide N-acetylmannosaminouronosyltransferase activity"	1
"GO:0047270 - lipopolysaccharide glucosyltransferase II activity"	1
"GO:0047293 - 4-hydroxybenzoate nonaprenyltransferase activity"	1
"GO:0047388 - [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase activity"	1
"GO:0047389 - glycerophosphocholine phosphodiesterase activity"	1
"GO:0047395 - glycerophosphoinositol glycerophosphodiesterase activity"	1
"GO:0047402 - protein-glucosylgalactosylhydroxylysine glucosidase activity"	1
"GO:0047405 - pyrimidine-5'-nucleotide nucleosidase activity"	1
"GO:0047443 - 4-hydroxy-4-methyl-2-oxoglutarate aldolase activity"	1
"GO:0047453 - ATP-dependent NAD(P)H-hydrate dehydratase activity"	1
"GO:0047456 - 2-methylisocitrate dehydratase activity"	1
"GO:0047465 - N-acylglucosamine-6-phosphate 2-epimerase activity"	1
"GO:0047475 - phenylacetate-CoA ligase activity"	1
"GO:0047480 - UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity"	1
