"Class Biological Process"	"Total of Genes"
"GO:0045862 - positive regulation of proteolysis"	1
"GO:0045881 - positive regulation of sporulation resulting in formation of a cellular spore"	1
"GO:0045883 - positive regulation of sulfur utilization"	1
"GO:0045911 - positive regulation of DNA recombination"	1
"GO:0045912 - negative regulation of carbohydrate metabolic process"	1
"GO:0045913 - positive regulation of carbohydrate metabolic process"	1
"GO:0045936 - negative regulation of phosphate metabolic process"	1
"GO:0046033 - AMP metabolic process"	1
"GO:0046040 - IMP metabolic process"	1
"GO:0046047 - TTP catabolic process"	1
"GO:0046052 - UTP catabolic process"	1
"GO:0046061 - dATP catabolic process"	1
"GO:0046067 - dGDP catabolic process"	1
"GO:0046076 - dTTP catabolic process"	1
"GO:0046084 - adenine biosynthetic process"	1
"GO:0046086 - adenosine biosynthetic process"	1
"GO:0046087 - cytidine metabolic process"	1
"GO:0046098 - guanine metabolic process"	1
"GO:0046100 - hypoxanthine metabolic process"	1
"GO:0046101 - hypoxanthine biosynthetic process"	1
"GO:0046103 - inosine biosynthetic process"	1
"GO:0046113 - nucleobase catabolic process"	1
"GO:0046115 - guanosine catabolic process"	1
"GO:0046124 - purine deoxyribonucleoside catabolic process"	1
"GO:0046132 - pyrimidine ribonucleoside biosynthetic process"	1
"GO:0046135 - pyrimidine nucleoside catabolic process"	1
"GO:0046166 - glyceraldehyde-3-phosphate biosynthetic process"	1
"GO:0046174 - polyol catabolic process"	1
"GO:0046181 - ketogluconate catabolic process"	1
"GO:0046187 - acetaldehyde catabolic process"	1
"GO:0046196 - 4-nitrophenol catabolic process"	1
"GO:0046203 - spermidine catabolic process"	1
"GO:0046208 - spermine catabolic process"	1
"GO:0046214 - enterobactin catabolic process"	1
"GO:0046271 - phenylpropanoid catabolic process"	1
"GO:0046279 - 3,4-dihydroxybenzoate biosynthetic process"	1
"GO:0046281 - cinnamic acid catabolic process"	1
"GO:0046292 - formaldehyde metabolic process"	1
"GO:0046325 - negative regulation of glucose import"	1
"GO:0046342 - CDP-diacylglycerol catabolic process"	1
"GO:0046360 - 2-oxobutyrate biosynthetic process"	1
"GO:0046365 - monosaccharide catabolic process"	1
"GO:0046380 - N-acetylneuraminate biosynthetic process"	1
"GO:0046386 - deoxyribose phosphate catabolic process"	1
"GO:0046397 - galacturonate catabolic process"	1
"GO:0046411 - 2-keto-3-deoxygluconate transmembrane transport"	1
"GO:0046452 - dihydrofolate metabolic process"	1
"GO:0046470 - phosphatidylcholine metabolic process"	1
"GO:0046471 - phosphatidylglycerol metabolic process"	1
"GO:0046475 - glycerophospholipid catabolic process"	1
"GO:0046483 - heterocycle metabolic process"	1
"GO:0046496 - nicotinamide nucleotide metabolic process"	1
"GO:0046501 - protoporphyrinogen IX metabolic process"	1
"GO:0046506 - sulfolipid biosynthetic process"	1
"GO:0046687 - response to chromate"	1
"GO:0046705 - CDP biosynthetic process"	1
"GO:0046710 - GDP metabolic process"	1
"GO:0046839 - phospholipid dephosphorylation"	1
"GO:0046890 - regulation of lipid biosynthetic process"	1
"GO:0046892 - peptidyl-S-carbamoyl-L-cysteine dehydration"	1
"GO:0046901 - tetrahydrofolylpolyglutamate biosynthetic process"	1
"GO:0046944 - protein carbamoylation"	1
"GO:0046950 - cellular ketone body metabolic process"	1
"GO:0046952 - ketone body catabolic process"	1
"GO:0048034 - heme O biosynthetic process"	1
"GO:0048519 - negative regulation of biological process"	1
"GO:0050427 - 3'-phosphoadenosine 5'-phosphosulfate metabolic process"	1
"GO:0050428 - 3'-phosphoadenosine 5'-phosphosulfate biosynthetic process"	1
"GO:0050435 - amyloid-beta metabolic process"	1
"GO:0050794 - regulation of cellular process"	1
"GO:0050870 - positive regulation of T cell activation"	1
"GO:0050919 - negative chemotaxis"	1
"GO:0051050 - positive regulation of transport"	1
"GO:0051083 - 'de novo' cotranslational protein folding"	1
"GO:0051100 - negative regulation of binding"	1
"GO:0051103 - DNA ligation involved in DNA repair"	1
"GO:0051143 - propanediol metabolic process"	1
"GO:0051170 - import into nucleus"	1
"GO:0051171 - regulation of nitrogen compound metabolic process"	1
"GO:0051179 - localization"	1
"GO:0051224 - negative regulation of protein transport"	1
"GO:0051258 - protein polymerization"	1
"GO:0051262 - protein tetramerization"	1
"GO:0051304 - chromosome separation"	1
"GO:0051345 - positive regulation of hydrolase activity"	1
"GO:0051348 - negative regulation of transferase activity"	1
"GO:0051391 - tRNA acetylation"	1
"GO:0051410 - detoxification of nitrogen compound"	1
"GO:0051476 - phosphoenolpyruvate-dependent mannosylglycerate phosphotransferase system"	1
"GO:0051479 - mannosylglycerate biosynthetic process"	1
"GO:0051484 - isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process"	1
"GO:0051494 - negative regulation of cytoskeleton organization"	1
"GO:0051518 - positive regulation of bipolar cell growth"	1
"GO:0051555 - flavonol biosynthetic process"	1
"GO:0051599 - response to hydrostatic pressure"	1
"GO:0051726 - regulation of cell cycle"	1
"GO:0051977 - lysophospholipid transport"	1
"GO:0051983 - regulation of chromosome segregation"	1
"GO:0052131 - positive aerotaxis"	1
"GO:0052778 - diacetylchitobiose metabolic process"	1
"GO:0052865 - 1-deoxy-D-xylulose 5-phosphate biosynthetic process"	1
"GO:0055082 - intracellular chemical homeostasis"	1
"GO:0055091 - phospholipid homeostasis"	1
"GO:0060169 - negative regulation of adenosine receptor signaling pathway"	1
"GO:0060274 - maintenance of stationary phase"	1
"GO:0060326 - cell chemotaxis"	1
"GO:0060566 - positive regulation of termination of DNA-templated transcription"	1
"GO:0060699 - regulation of endoribonuclease activity"	1
"GO:0061475 - cytosolic valyl-tRNA aminoacylation"	1
"GO:0061610 - glycerol to glycerone phosphate metabolic process"	1
"GO:0061615 - glycolytic process through fructose-6-phosphate"	1
"GO:0061727 - methylglyoxal catabolic process to lactate"	1
"GO:0070178 - D-serine metabolic process"	1
"GO:0070206 - protein trimerization"	1
"GO:0070262 - peptidyl-serine dephosphorylation"	1
"GO:0070298 - negative regulation of phosphorelay signal transduction system"	1
"GO:0070299 - positive regulation of phosphorelay signal transduction system"	1
"GO:0070413 - trehalose metabolism in response to stress"	1
"GO:0070525 - tRNA threonylcarbamoyladenosine metabolic process"	1
"GO:0070581 - rolling circle DNA replication"	1
"GO:0070588 - calcium ion transmembrane transport"	1
"GO:0070989 - oxidative demethylation"	1
"GO:0071047 - polyadenylation-dependent mRNA catabolic process"	1
"GO:0071051 - polyadenylation-dependent snoRNA 3'-end processing"	1
"GO:0071218 - cellular response to misfolded protein"	1
"GO:0071243 - cellular response to arsenic-containing substance"	1
"GO:0071244 - cellular response to carbon dioxide"	1
"GO:0071248 - cellular response to metal ion"	1
"GO:0071269 - L-homocysteine biosynthetic process"	1
"GO:0071278 - cellular response to cesium ion"	1
"GO:0071284 - cellular response to lead ion"	1
"GO:0071287 - cellular response to manganese ion"	1
"GO:0071289 - cellular response to nickel ion"	1
"GO:0071291 - cellular response to selenium ion"	1
"GO:0071310 - cellular response to organic substance"	1
"GO:0071423 - malate transmembrane transport"	1
"GO:0071433 - cell wall repair"	1
"GO:0071456 - cellular response to hypoxia"	1
"GO:0071466 - cellular response to xenobiotic stimulus"	1
"GO:0071476 - cellular hypotonic response"	1
"GO:0071500 - cellular response to nitrosative stress"	1
"GO:0071709 - membrane assembly"	1
"GO:0071732 - cellular response to nitric oxide"	1
"GO:0071807 - replication fork arrest involved in DNA replication termination"	1
"GO:0071871 - response to epinephrine"	1
"GO:0071915 - protein-lysine lysylation"	1
"GO:0071932 - replication fork reversal"	1
"GO:0071945 - regulation of bacterial-type flagellum-dependent cell motility by regulation of motor speed"	1
"GO:0071951 - conversion of methionyl-tRNA to N-formyl-methionyl-tRNA"	1
"GO:0071963 - establishment or maintenance of cell polarity regulating cell shape"	1
"GO:0072488 - ammonium transmembrane transport"	1
"GO:0072528 - pyrimidine-containing compound biosynthetic process"	1
"GO:0072581 - protein-N6-(L-lysyl)-L-lysine modification to protein-N6-(beta-lysyl)-L-lysine"	1
"GO:0072598 - protein localization to chloroplast"	1
"GO:0072659 - protein localization to plasma membrane"	1
"GO:0072702 - response to methyl methanesulfonate"	1
"GO:0072711 - cellular response to hydroxyurea"	1
"GO:0072714 - response to selenite ion"	1
"GO:0080111 - DNA demethylation"	1
"GO:0090070 - positive regulation of ribosome biogenesis"	1
"GO:0090314 - positive regulation of protein targeting to membrane"	1
"GO:0090347 - regulation of cellular organohalogen metabolic process"	1
"GO:0090357 - regulation of tryptophan metabolic process"	1
"GO:0090358 - positive regulation of tryptophan metabolic process"	1
"GO:0097052 - L-kynurenine metabolic process"	1
"GO:0097304 - lipoprotein biosynthetic process via signal peptide cleavage"	1
"GO:0097339 - glycolate transmembrane transport"	1
"GO:0097501 - stress response to metal ion"	1
"GO:0097532 - stress response to acid chemical"	1
"GO:0097623 - potassium ion export across plasma membrane"	1
"GO:0097681 - double-strand break repair via alternative nonhomologous end joining"	1
"GO:0098002 - receptor-mediated bacteriophage irreversible attachment to host cell"	1
"GO:0098660 - inorganic ion transmembrane transport"	1
"GO:0098719 - sodium ion import across plasma membrane"	1
"GO:0098732 - macromolecule deacylation"	1
"GO:0098795 - global gene silencing by mRNA cleavage"	1
"GO:0101030 - tRNA-guanine transglycosylation"	1
"GO:0106004 - tRNA (guanine-N7)-methylation"	1
"GO:0106354 - tRNA surveillance"	1
"GO:0110051 - metabolite repair"	1
"GO:0110052 - toxic metabolite repair"	1
"GO:0120232 - prenyl-FMNH2 biosynthetic process"	1
"GO:0140048 - manganese ion export across plasma membrane"	1
"GO:0140114 - cellular detoxification of fluoride"	1
"GO:0140647 - P450-containing electron transport chain"	1
"GO:0140967 - manganese import into cell"	1
"GO:1900079 - regulation of arginine biosynthetic process"	1
"GO:1900081 - regulation of arginine catabolic process"	1
"GO:1900372 - negative regulation of purine nucleotide biosynthetic process"	1
"GO:1900376 - regulation of secondary metabolite biosynthetic process"	1
"GO:1900378 - positive regulation of secondary metabolite biosynthetic process"	1
"GO:1900705 - negative regulation of siderophore biosynthetic process"	1
"GO:1900749 - (R)-carnitine transport"	1
"GO:1900751 - 4-(trimethylammonio)butanoate transport"	1
"GO:1901006 - ubiquinone-6 biosynthetic process"	1
"GO:1901260 - peptidyl-lysine hydroxylation involved in bacterial-type EF-P lysine modification"	1
"GO:1901275 - tartrate metabolic process"	1
"GO:1901281 - fructoselysine catabolic process"	1
"GO:1901360 - organic cyclic compound metabolic process"	1
"GO:1901367 - response to L-cysteine"	1
"GO:1901425 - response to formic acid"	1
"GO:1901615 - organic hydroxy compound metabolic process"	1
"GO:1901663 - quinone biosynthetic process"	1
"GO:1901678 - iron coordination entity transport"	1
"GO:1901684 - arsenate ion transmembrane transport"	1
"GO:1901800 - positive regulation of proteasomal protein catabolic process"	1
"GO:1901891 - regulation of cell septum assembly"	1
"GO:1901998 - toxin transport"	1
"GO:1902022 - L-lysine transport"	1
"GO:1902024 - L-histidine transport"	1
"GO:1902047 - polyamine transmembrane transport"	1
"GO:1902270 - (R)-carnitine transmembrane transport"	1
"GO:1902280 - regulation of RNA helicase activity"	1
"GO:1902328 - bacterial-type DNA replication initiation"	1
"GO:1902369 - negative regulation of RNA catabolic process"	1
"GO:1902604 - p-aminobenzoyl-glutamate transmembrane transport"	1
"GO:1902758 - bis(molybdopterin guanine dinucleotide)molybdenum biosynthetic process"	1
"GO:1902760 - Mo(VI)-molybdopterin cytosine dinucleotide biosynthetic process"	1
"GO:1902767 - isoprenoid biosynthetic process via mevalonate"	1
"GO:1902836 - positive regulation of proline import across plasma membrane"	1
"GO:1903052 - positive regulation of proteolysis involved in protein catabolic process"	1
"GO:1903066 - regulation of protein localization to cell tip"	1
"GO:1903189 - glyoxal metabolic process"	1
"GO:1903228 - xanthosine catabolic process"	1
"GO:1903352 - L-ornithine transmembrane transport"	1
"GO:1903412 - response to bile acid"	1
"GO:1903424 - fluoride transmembrane transport"	1
"GO:1903658 - positive regulation of type IV pilus biogenesis"	1
"GO:1903805 - L-valine import across plasma membrane"	1
"GO:1904082 - pyrimidine nucleobase transmembrane transport"	1
"GO:1904583 - response to polyamine macromolecule"	1
"GO:1904689 - negative regulation of cytoplasmic translational initiation"	1
"GO:1904812 - rRNA acetylation involved in maturation of SSU-rRNA"	1
"GO:1905647 - proline import across plasma membrane"	1
"GO:1990397 - queuosine salvage"	1
"GO:1990481 - mRNA pseudouridine synthesis"	1
"GO:1990497 - regulation of cytoplasmic translation in response to stress"	1
"GO:1990516 - ribonucleotide excision repair"	1
"GO:1990532 - stress response to nickel ion"	1
"GO:1990641 - response to iron ion starvation"	1
"GO:2000146 - negative regulation of cell motility"	1
"GO:2000186 - negative regulation of phosphate transmembrane transport"	1
"GO:2000372 - negative regulation of DNA topoisomerase (ATP-hydrolyzing) activity"	1
"GO:2000892 - cellobiose catabolic process"	1
"GO:2001008 - positive regulation of cellulose biosynthetic process"	1
"GO:2001023 - regulation of response to drug"	1
"GO:2001061 - D-glycero-D-manno-heptose 7-phosphate biosynthetic process"	1
"GO:2001125 - negative regulation of translational frameshifting"	1
"GO:2001251 - negative regulation of chromosome organization"	1
"GO:2001315 - UDP-4-deoxy-4-formamido-beta-L-arabinopyranose biosynthetic process"	1
